api.twitter.com 7360
instagram.com   111
youtube.com 84
amazon.com  16
ask.fm  15
etsy.com    14
music.daum.net  11
m.tmi.me    11
twitpic.com 11
tweekly.fm  9
pinterest.com   8
twitter.com 7
twitlonger.com  7
tmi.me  6
soundcloud.com  6
soundofstockholm.se 6
twitter.yfrog.com   6
reverbnation.com    5
pics.lockerz.com    5
npr.org 5
liveleak.com    5
shindanmaker.com    4
flickr.com  4
redgage.com 4
adf.ly  4
ratrodsrule.com 4
nytimes.com 4
festival-automne.com    4
ebay.com    4
theiconoclasts.tumblr.com   4
